date,bidclose,tickqty,ema,ema_slow,ema_res1,ema_res2,ema_res3,volumn,value1,tickqtyLimit,peaks_min,peaks_max,sell,zone_sell,buy,zone_buy
2023-02-14 16:32:00,1.07139,1057,1.0716242587064038,1.071901556808866,1.0720965548319663,1.0721948098411935,1.0723569421113244,933.7273353707651,1,350,,,0,0.0,0,0.0
2023-02-14 16:33:00,1.07137,903,1.0715225552238423,1.0717834330735623,1.0719927612845426,1.0721079877526467,1.0722932684237296,928.1405471215351,1,350,1.0,,0,0.0,0,0.0
2023-02-14 16:34:00,1.07162,1153,1.0715615331343056,1.0717471146127706,1.071939509672465,1.072056620620789,1.0722498317493208,969.0240840085287,1,350,,,0,0.0,0,0.0
2023-02-14 16:35:00,1.07217,1301,1.0718049198805835,1.0718410891432661,1.0719724368621129,1.072068555292285,1.0722446813136688,1029.3833414615235,1,350,,,0,0.0,0,0.0
2023-02-14 16:36:00,1.072,712,1.0718829519283504,1.071876402666985,1.0719763744532396,1.0720613389457287,1.0722288954218568,971.6772793776101,1,350,,,0,0.0,0,0.0
2023-02-14 16:37:00,1.072,685,1.0719297711570104,1.0719038687409885,1.0719797495313483,1.0720548822145992,1.072214127974754,919.5541376725901,1,350,,,0,0.0,0,0.0
2023-02-14 16:38:00,1.07196,730,1.0719418626942063,1.0719163423541023,1.0719769281697271,1.0720448946130625,1.0721977326209917,885.0897490048463,1,350,,,0,0.0,0,0.0
2023-02-14 16:39:00,1.07184,573,1.0719011176165238,1.0718993773865242,1.0719573670026232,1.072023326759056,1.0721746530963296,828.3461582766924,1,350,,,0,0.0,0,0.0
2023-02-14 16:40:00,1.07154,885,1.0717566705699144,1.0718195157450745,1.0718977431451056,1.0719724502581027,1.0721337077340691,838.6468567718393,1,350,,,0,0.0,0,0.0
2023-02-14 16:41:00,1.07182,888,1.0717820023419489,1.0718196233572803,1.071886636981519,1.071956402862513,1.0721134685248614,847.6201555405958,1,350,,,0,0.0,0,0.0
2023-02-14 16:42:00,1.0718,633,1.0717892014051695,1.0718152626112183,1.0718742602698732,1.071939939403301,1.0720932447485423,808.5983090786692,1,350,,,0,0.0,0,0.0
2023-02-14 16:43:00,1.07154,526,1.0716895208431019,1.0717540931420588,1.0718265088027483,1.071897840518743,1.0720575515380977,757.2167983370929,1,350,,,0,0.0,0,0.0
2023-02-14 16:44:00,1.07163,606,1.0716657125058613,1.0717265168882681,1.0717984361166415,1.071869646779928,1.0720299675672753,729.7228350030759,1,350,,,0,0.0,0,0.0
2023-02-14 16:45:00,1.07143,587,1.0715714275035169,1.071660624246431,1.0717458023856927,1.0718233681715146,1.0719912599814725,703.7732286388804,1,350,,,0,0.0,0,0.0
